state_name,district_name,crop_year,season,crop,area,production,matched_state,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
Telangana,MAHBUBNAGAR,2003,Rabi,Onion,632.0,17517.0,Telangana,0.0,10.7,21.9,14.0,7.9,112.6,312.2,266.5,103.2,101.7,7.3,5.3,963.2,10.7,43.8,794.5,114.2
Uttarakhand,ALMORA,2007,Kharif,other oilseeds,4.0,2.0,Uttarakhand,1.7,138.9,123.1,41.1,78.8,139.9,522.9,502.8,325.6,25.1,7.8,16.7,1924.3,140.6,243.0,1491.2,49.6
Gujarat,SURAT,2011,Summer,Rice,19000.0,64000.0,Gujarat Region,0.0,0.2,0.0,0.0,0.0,16.3,259.2,451.7,162.5,0.4,0.0,0.0,890.5,0.2,0.0,889.8,0.4
Jammu And Kashmir,DODA,1999,Rabi,Barley,7860.0,2481.6,Jammu & Kashmir,183.5,56.0,91.6,24.3,47.6,51.9,133.8,145.0,84.8,3.5,68.4,0.2,890.3,239.4,163.5,415.5,72.0
West Bengal,MALDAH,1999,Rabi,Linseed,232.0,83.0,Gangetic West Bengal,0.1,0.7,1.6,10.5,217.9,268.8,405.2,375.4,467.8,195.3,13.7,0.0,1957.0,0.8,230.0,1517.2,209.0
Tripura,WEST TRIPURA,2005,Kharif,Sesamum,432.0,190.0,,,,,,,,,,,,,,,,,,
Haryana,MEWAT,2011,Kharif,Sesamum,430.0,100.0,,,,,,,,,,,,,,,,,,
Assam,GOALPARA,2007,Rabi,Masoor,1135.0,533.0,,,,,,,,,,,,,,,,,,
Bihar,SIWAN,2003,Rabi,Rapeseed &Mustard,2028.0,2107.0,Bihar,13.2,39.7,10.2,21.9,41.4,230.9,356.8,310.6,183.9,142.0,0.2,3.0,1353.9,52.9,73.5,1082.3,145.2
Arunachal Pradesh,LOWER DIBANG VALLEY,2004,Whole Year,Sugarcane,150.0,1000.0,Arunachal Pradesh,38.0,39.1,175.5,210.2,298.7,402.9,654.3,243.0,278.5,184.8,5.6,15.2,2545.7,77.1,684.3,1578.7,205.6
Himachal Pradesh,KANGRA,2007,Kharif,Sesamum,2653.0,942.0,Himachal Pradesh,1.3,121.0,177.0,9.6,39.3,155.7,155.2,234.3,85.7,18.7,1.0,35.6,1034.5,122.3,225.9,631.0,55.4
Karnataka,BANGALORE RURAL,2011,Rabi,Onion,42.0,334.0,Coastal Karnataka,4.8,3.8,8.7,66.1,49.3,1018.4,1080.5,861.3,545.2,178.8,81.5,10.2,3908.6,8.6,124.1,3505.4,270.5
Tripura,NORTH TRIPURA,2009,Rabi,Gram,40.0,29.0,,,,,,,,,,,,,,,,,,
Karnataka,BENGALURU URBAN,2005,Kharif,Moong(Green Gram),19.0,5.0,Coastal Karnataka,0.5,0.2,0.0,72.5,45.0,821.6,1177.3,692.0,456.2,178.7,24.6,2.3,3470.9,0.6,117.5,3147.2,205.6
Nagaland,MON,2008,Kharif,Sugarcane,530.0,22760.0,,,,,,,,,,,,,,,,,,
Andhra Pradesh,VIZIANAGARAM,2003,Whole Year,Other Fresh Fruits,132.0,506.0,Coastal Andhra Pradesh,6.2,19.4,40.7,19.4,12.2,104.0,241.7,158.3,130.2,252.3,11.5,101.1,1096.8,25.6,72.3,634.1,364.9
West Bengal,DARJEELING,2008,Rabi,Linseed,86.0,15.0,Gangetic West Bengal,49.4,12.4,11.5,42.8,94.4,414.5,338.4,252.2,267.3,72.3,0.0,0.2,1555.2,61.8,148.8,1272.3,72.4
Tamil Nadu,KARUR,2001,Kharif,Arhar/Tur,2763.0,900.0,Tamil Nadu,21.8,10.9,13.0,93.8,45.0,39.9,37.2,18.7,53.8,69.5,52.3,27.6,483.4,32.7,151.8,149.5,149.3
Maharashtra,GONDIA,2000,Kharif,Small millets,800.0,600.0,Madhya Maharashtra,0.4,1.1,0.2,1.7,18.5,173.0,198.7,159.6,87.0,56.5,2.7,2.1,701.6,1.5,20.5,618.2,61.3
Haryana,SONIPAT,1997,Rabi,Wheat,123000.0,407000.0,,,,,,,,,,,,,,,,,,
Meghalaya,EAST JAINTIA HILLS,2000,Kharif,Soyabean,390.0,389.0,Assam & Meghalaya,20.5,13.7,65.9,238.5,375.1,540.2,313.3,513.2,299.9,83.9,22.2,0.4,2487.0,34.2,679.5,1666.6,106.6
Haryana,KURUKSHETRA,2004,Rabi,Masoor,437.0,500.0,,,,,,,,,,,,,,,,,,
West Bengal,PURULIA,2010,Autumn,Ragi,76.0,25.0,Gangetic West Bengal,0.2,10.3,8.0,15.9,127.5,189.3,196.3,192.6,192.6,96.2,6.3,29.7,1064.8,10.5,151.3,770.7,132.2
Mizoram,LUNGLEI,2000,Rabi,Maize,34.0,61.0,,,,,,,,,,,,,,,,,,
Meghalaya,SOUTH GARO HILLS,2004,Kharif,Mesta,732.0,3318.0,Assam & Meghalaya,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.3,34.8,755.9,1849.7,353.9
Andhra Pradesh,WEST GODAVARI,2003,Whole Year,Beans & Mutter(Vegetable),236.0,1615.0,Coastal Andhra Pradesh,6.2,19.4,40.7,19.4,12.2,104.0,241.7,158.3,130.2,252.3,11.5,101.1,1096.8,25.6,72.3,634.1,364.9
Dadra And Nagar Haveli,DADRA AND NAGAR HAVELI,2005,Winter,Sesamum,30.0,30.0,,,,,,,,,,,,,,,,,,
Madhya Pradesh,RAISEN,2000,Rabi,Linseed,8407.0,5771.0,West Madhya Pradesh,0.1,,0.1,0.1,30.1,93.4,320.5,136.2,31.6,1.2,0.0,0.2,,,30.3,581.7,1.4
Mizoram,LUNGLEI,2000,Kharif,Sesamum,513.0,636.0,,,,,,,,,,,,,,,,,,
West Bengal,DINAJPUR DAKSHIN,1998,Whole Year,Groundnut,21.0,11.0,Gangetic West Bengal,52.9,31.0,128.8,53.0,87.1,154.3,295.2,265.7,296.3,191.4,77.1,0.0,1632.7,83.9,268.9,1011.5,268.4
Manipur,BISHNUPUR,2000,Whole Year,Onion,90.0,190.0,,,,,,,,,,,,,,,,,,
Goa,SOUTH GOA,2013,Whole Year,Other Vegetables,3175.0,36345.0,,,,,,,,,,,,,,,,,,
Rajasthan,UDAIPUR,2006,Kharif,Small millets,963.0,215.0,West Rajasthan,0.0,0.0,16.9,3.4,8.3,36.9,52.7,203.6,31.3,5.3,0.4,2.5,361.3,0.0,28.6,324.4,8.3
Chhattisgarh,KORBA,2014,Rabi,Masoor,48.0,16.0,Chhattisgarh,2.3,29.0,21.4,17.3,25.0,104.9,416.7,327.7,252.7,77.9,2.6,1.1,1278.7,31.3,63.7,1102.1,81.6
Sikkim,NORTH DISTRICT,1999,Kharif,Urad,20.0,9.0,,,,,,,,,,,,,,,,,,
Tripura,NORTH TRIPURA,1998,Rabi,Other  Rabi pulses,163.0,95.0,,,,,,,,,,,,,,,,,,
Madhya Pradesh,NEEMUCH,2003,Whole Year,Orange,514.0,0.0,West Madhya Pradesh,1.1,21.1,0.1,1.0,0.3,128.7,307.5,228.0,254.9,0.9,0.2,2.5,946.4,22.2,1.4,919.2,3.6
Andhra Pradesh,CHITTOOR,2003,Rabi,Linseed,19.0,5.0,Coastal Andhra Pradesh,6.2,19.4,40.7,19.4,12.2,104.0,241.7,158.3,130.2,252.3,11.5,101.1,1096.8,25.6,72.3,634.1,364.9
Andaman And Nicobar Islands,NICOBARS,2004,Whole Year,Coconut,18394.7,52380000.0,Andaman & Nicobar Islands,54.5,35.9,36.5,41.6,505.1,423.9,378.9,308.7,280.7,223.9,169.9,0.4,2460.1,90.4,583.2,1392.2,394.2
Rajasthan,AJMER,2005,Rabi,Barley,9904.0,17315.0,West Rajasthan,1.4,14.2,8.7,6.3,14.5,29.2,86.1,24.3,75.8,0.0,0.1,0.0,260.8,15.6,29.6,215.4,0.1
Goa,NORTH GOA,2013,Whole Year,Mango,1431.0,2705.0,,,,,,,,,,,,,,,,,,
West Bengal,HOOGHLY,2001,Whole Year,Sugarcane,1195.0,117900.0,Gangetic West Bengal,0.3,1.9,32.8,49.4,175.8,384.2,269.3,248.7,205.9,163.6,8.8,0.0,1540.6,2.2,258.0,1108.0,172.4
Arunachal Pradesh,WEST KAMENG,1999,Whole Year,Dry ginger,45.0,30.0,Arunachal Pradesh,7.9,6.1,40.4,159.6,343.2,450.0,376.9,438.1,254.0,207.9,28.3,4.3,2316.6,14.0,543.2,1519.0,240.4
Kerala,MALAPPURAM,2008,Whole Year,Cashewnut,5394.0,3153.0,Kerala,0.8,30.3,217.2,108.4,81.2,469.9,505.1,349.0,347.0,343.4,55.4,17.0,2524.5,31.1,406.7,1670.9,415.7
Bihar,GOPALGANJ,2006,Kharif,Mesta,13.0,111.0,Bihar,0.1,0.0,1.9,19.2,73.2,200.0,290.7,160.4,285.2,17.6,2.9,1.6,1052.8,0.1,94.3,936.3,22.1
Dadra And Nagar Haveli,DADRA AND NAGAR HAVELI,1998,Kharif,Niger seed,180.0,103.0,,,,,,,,,,,,,,,,,,
Manipur,CHANDEL,2000,Whole Year,Banana,750.0,9650.0,,,,,,,,,,,,,,,,,,
Himachal Pradesh,MANDI,2007,Rabi,Rapeseed &Mustard,376.0,109.0,Himachal Pradesh,1.3,121.0,177.0,9.6,39.3,155.7,155.2,234.3,85.7,18.7,1.0,35.6,1034.5,122.3,225.9,631.0,55.4
Sikkim,EAST DISTRICT,2007,Rabi,Rapeseed &Mustard,1270.0,900.0,,,,,,,,,,,,,,,,,,
West Bengal,MURSHIDABAD,2007,Summer,Rice,141921.0,500939.0,Gangetic West Bengal,3.9,56.2,39.3,38.7,98.7,226.3,610.1,328.0,459.9,55.8,24.6,0.0,1941.4,60.1,176.7,1624.2,80.4
Tamil Nadu,THENI,2005,Kharif,Jowar,13910.0,27866.0,Tamil Nadu,4.1,11.1,24.4,128.0,80.6,35.7,87.9,93.3,117.9,280.5,353.4,148.5,1365.3,15.2,233.0,334.8,782.3
Dadra And Nagar Haveli,DADRA AND NAGAR HAVELI,2005,Winter,Gram,137.0,162.0,,,,,,,,,,,,,,,,,,
Nagaland,MON,2000,Whole Year,Potato,410.0,4150.0,,,,,,,,,,,,,,,,,,
Telangana,KHAMMAM,2011,Kharif,Soyabean,16.0,26.0,Telangana,0.0,11.9,2.6,25.6,9.3,83.9,268.2,225.9,107.6,13.9,4.2,0.0,753.1,11.9,37.4,685.6,18.1
Meghalaya,RI BHOI,2000,Kharif,Rice,11468.0,29393.0,Assam & Meghalaya,20.5,13.7,65.9,238.5,375.1,540.2,313.3,513.2,299.9,83.9,22.2,0.4,2487.0,34.2,679.5,1666.6,106.6
Jammu And Kashmir,BADGAM,2014,Kharif,Maize,10936.0,13593.0,Jammu & Kashmir,75.8,64.0,153.1,76.1,52.7,25.3,100.5,134.6,362.8,32.2,14.1,2.3,1093.4,139.8,281.9,623.2,48.5
Uttarakhand,NAINITAL,2010,Rabi,Gram,425.0,370.0,Uttarakhand,11.4,62.1,3.8,13.8,47.0,72.7,455.8,335.7,389.7,8.0,4.5,19.5,1424.0,73.6,64.5,1253.9,32.0
Chandigarh,CHANDIGARH,2000,Rabi,Gram,1.0,1.0,Chhattisgarh,2.6,0.0,0.6,1.5,9.3,180.7,322.4,215.6,169.1,4.3,0.2,0.1,906.3,2.6,11.4,887.8,4.6
Madhya Pradesh,HOSHANGABAD,2003,Whole Year,Sugarcane,402.0,12820.0,West Madhya Pradesh,1.1,21.1,0.1,1.0,0.3,128.7,307.5,228.0,254.9,0.9,0.2,2.5,946.4,22.2,1.4,919.2,3.6
Andaman And Nicobar Islands,NICOBARS,2006,Whole Year,Sweet potato,18.0,86.0,Andaman & Nicobar Islands,16.3,14.4,48.9,163.7,321.4,366.0,182.7,219.6,546.5,374.7,76.1,74.4,2404.7,30.7,534.0,1314.9,525.2
Haryana,JIND,2002,Rabi,Wheat,203405.0,855000.0,,,,,,,,,,,,,,,,,,
Tamil Nadu,KANNIYAKUMARI,2009,Whole Year,Groundnut,20.0,29.0,Tamil Nadu,7.9,0.0,41.0,41.4,74.8,27.0,42.1,96.9,114.4,62.1,314.7,106.2,928.5,7.9,157.2,280.4,482.9
Tamil Nadu,TUTICORIN,1997,Whole Year,Small millets,220.0,20.0,Tamil Nadu,7.7,0.2,2.3,42.0,49.2,50.4,63.5,56.4,116.0,169.5,258.1,135.2,950.5,7.9,93.5,286.3,562.8
Andaman And Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,Banana,1531.0,12073.0,Andaman & Nicobar Islands,53.0,59.0,171.3,218.1,422.8,357.0,176.3,460.8,250.1,321.2,158.3,115.2,2763.2,112.0,812.2,1244.2,594.7
Dadra And Nagar Haveli,DADRA AND NAGAR HAVELI,2002,Kharif,Small millets,193.0,224.0,,,,,,,,,,,,,,,,,,
Sikkim,WEST DISTRICT,2006,Kharif,Small millets,1500.0,1450.0,,,,,,,,,,,,,,,,,,
Tripura,SOUTH TRIPURA,2005,Rabi,Groundnut,74.0,64.0,,,,,,,,,,,,,,,,,,
Jammu And Kashmir,UDHAMPUR,1999,Kharif,Bajra,247.0,148.7,Jammu & Kashmir,183.5,56.0,91.6,24.3,47.6,51.9,133.8,145.0,84.8,3.5,68.4,0.2,890.3,239.4,163.5,415.5,72.0
Assam,MARIGAON,2014,Rabi,Urad,670.0,423.0,,,,,,,,,,,,,,,,,,
Jharkhand,GUMLA,2006,Rabi,Potato,1035.95,4248.0,Jharkhand,0.3,0.2,22.4,15.7,107.4,198.3,447.1,337.2,298.7,24.6,7.4,0.0,1459.5,0.5,145.5,1281.4,32.0
Puducherry,PONDICHERRY,2000,Whole Year,Sugarcane,2437.0,198226.0,,,,,,,,,,,,,,,,,,
Bihar,GOPALGANJ,2014,Kharif,Urad,110.0,100.0,Bihar,17.0,33.5,8.4,0.7,103.9,115.2,265.4,307.6,160.3,47.8,0.0,1.2,1061.0,50.5,112.9,848.6,49.0
Jammu And Kashmir,UDHAMPUR,2007,Rabi,Potato,20.0,50.2,Jammu & Kashmir,12.3,116.7,259.3,15.0,65.6,143.9,132.4,196.8,33.0,1.6,0.0,47.0,1023.5,129.0,339.8,506.1,48.6
Chhattisgarh,RAIGARH,2005,Whole Year,Coriander,159.0,35.0,Chhattisgarh,57.6,15.6,6.1,6.5,16.4,197.0,393.8,267.7,240.5,83.5,1.6,1.0,1287.2,73.2,29.0,1099.0,86.1
Telangana,MEDAK,2000,Whole Year,Dry ginger,767.0,2998.0,Telangana,0.6,16.8,1.0,16.3,48.8,253.2,220.9,420.5,70.7,20.2,6.4,2.5,1078.0,17.5,66.1,965.3,29.1
Chhattisgarh,KABIRDHAM,2008,Rabi,Rapeseed &Mustard,2122.0,651.0,Chhattisgarh,6.7,9.7,22.2,11.2,9.5,236.4,280.5,305.1,215.4,10.7,1.2,0.0,1108.5,16.4,42.9,1037.4,11.8
Tripura,SOUTH TRIPURA,2007,Kharif,Sesamum,560.0,333.0,,,,,,,,,,,,,,,,,,
Kerala,KOLLAM,2004,Whole Year,Cashewnut,4666.0,3160.0,Kerala,2.4,8.1,37.9,113.2,610.9,673.4,385.4,417.9,192.8,320.6,120.7,2.7,2886.1,10.5,762.0,1669.5,444.0
Meghalaya,SOUTH WEST GARO HILLS,2013,Whole Year,Cashewnut,1482.0,3758.0,Assam & Meghalaya,1.1,9.6,44.0,112.8,346.7,286.2,367.8,289.7,229.3,126.3,1.0,2.0,1816.4,10.7,503.5,1172.9,129.3
Odisha,JHARSUGUDA,1999,Kharif,Groundnut,830.0,1000.0,Orissa,0.1,0.7,0.9,3.2,164.8,222.9,270.2,325.9,266.4,215.4,13.9,0.0,1484.3,0.8,168.9,1085.3,229.3
Jammu And Kashmir,KARGIL,2003,Kharif,Peas & beans (Pulses),18.0,2.0,Jammu & Kashmir,26.9,267.2,170.9,117.5,111.3,41.0,136.0,185.5,126.1,13.3,33.7,81.7,1311.1,294.2,399.7,488.5,128.8
Meghalaya,EAST JAINTIA HILLS,2000,Rabi,Other  Rabi pulses,87.0,61.0,Assam & Meghalaya,20.5,13.7,65.9,238.5,375.1,540.2,313.3,513.2,299.9,83.9,22.2,0.4,2487.0,34.2,679.5,1666.6,106.6
Tamil Nadu,SALEM,1997,Kharif,Sesamum,10428.0,6560.0,Tamil Nadu,7.7,0.2,2.3,42.0,49.2,50.4,63.5,56.4,116.0,169.5,258.1,135.2,950.5,7.9,93.5,286.3,562.8
Chhattisgarh,KORBA,2012,Kharif,Jute,47.0,,Chhattisgarh,36.6,4.8,1.1,14.9,9.4,147.3,430.6,442.2,245.3,19.8,20.4,5.0,1377.4,41.5,25.4,1265.4,45.1
Madhya Pradesh,SIDHI,2013,Whole Year,Onion,283.0,1829.0,West Madhya Pradesh,1.7,31.1,8.5,2.8,0.4,263.7,485.1,432.6,98.9,68.7,0.3,2.4,1396.3,32.8,11.7,1280.4,71.4
Gujarat,AMRELI,2003,Kharif,Groundnut,300700.0,699000.0,Gujarat Region,0.0,6.1,0.1,0.0,0.0,209.3,518.7,314.6,109.5,1.9,0.0,0.0,1160.3,6.1,0.1,1152.2,1.9
Himachal Pradesh,KULLU,2002,Rabi,Gram,69.0,14.0,Himachal Pradesh,66.7,136.5,136.9,124.0,27.0,56.1,81.8,225.6,123.1,8.2,0.7,3.9,990.4,203.2,287.9,486.6,12.8
Uttar Pradesh,JAUNPUR,2001,Rabi,Wheat,187032.0,452739.0,West Uttar Pradesh,2.5,2.3,2.6,12.0,29.6,164.4,282.0,122.1,26.7,16.3,1.1,0.1,661.7,4.8,44.2,595.2,17.6
Jharkhand,HAZARIBAGH,2006,Rabi,Wheat,8631.66,11963.0,Jharkhand,0.3,0.2,22.4,15.7,107.4,198.3,447.1,337.2,298.7,24.6,7.4,0.0,1459.5,0.5,145.5,1281.4,32.0
Andaman And Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year,Dry ginger,344.0,1124.0,Andaman & Nicobar Islands,89.0,15.7,143.3,30.1,705.3,370.7,341.3,469.0,334.4,267.6,222.6,91.8,3080.9,104.7,878.7,1515.4,582.0
Assam,HAILAKANDI,2005,Whole Year,Turmeric,200.0,101.0,,,,,,,,,,,,,,,,,,
Nagaland,WOKHA,2013,Rabi,Peas & beans (Pulses),640.0,690.0,,,,,,,,,,,,,,,,,,
Meghalaya,WEST JAINTIA HILLS,2014,Whole Year,Arecanut,1570.0,2517.0,Assam & Meghalaya,2.0,28.3,29.3,51.5,351.1,426.4,374.4,484.6,420.2,35.0,3.0,0.4,2206.1,30.3,431.9,1705.5,38.5
Andhra Pradesh,CHITTOOR,2010,Rabi,Sesamum,334.0,118.0,Coastal Andhra Pradesh,21.8,2.3,4.4,14.8,162.0,156.1,318.9,248.6,230.5,204.0,210.9,138.2,1712.4,24.1,181.2,954.0,553.1
Puducherry,PONDICHERRY,2008,Kharif,Tapioca,294.0,8820.0,,,,,,,,,,,,,,,,,,
Assam,KAMRUP,1999,Rabi,Wheat,6729.0,8325.0,,,,,,,,,,,,,,,,,,
Andaman And Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year,Banana,1656.8,10251.13,Andaman & Nicobar Islands,0.0,0.0,20.3,51.1,305.3,452.4,429.3,311.1,507.5,293.5,300.1,283.9,2954.7,0.0,376.8,1700.4,877.5
Andhra Pradesh,VISAKHAPATANAM,2005,Whole Year,Tobacco,1335.0,3456.0,Coastal Andhra Pradesh,13.6,8.0,17.4,32.2,48.4,88.1,151.5,105.9,398.1,298.0,56.2,4.2,1221.6,21.6,98.0,743.6,358.4
Rajasthan,JHALAWAR,2007,Whole Year,Dry chillies,491.0,399.0,West Rajasthan,0.0,34.9,22.0,2.3,3.8,41.2,90.5,69.4,45.6,0.0,0.1,0.9,310.8,35.0,28.1,246.7,1.0
Tamil Nadu,PUDUKKOTTAI,2006,Whole Year,Urad,896.0,511.0,Tamil Nadu,15.3,0.2,52.4,32.6,65.2,57.2,33.6,73.4,116.3,240.4,215.1,26.1,927.9,15.5,150.2,280.6,481.6
Tamil Nadu,TIRUPPUR,2008,Whole Year,Tobacco,320.0,,Tamil Nadu,11.7,29.1,164.7,31.5,53.7,51.1,73.1,126.5,70.7,242.7,298.5,50.1,1203.4,40.8,250.0,321.5,591.2
Madhya Pradesh,DATIA,2013,Kharif,Soyabean,1769.0,1446.0,West Madhya Pradesh,1.7,31.1,8.5,2.8,0.4,263.7,485.1,432.6,98.9,68.7,0.3,2.4,1396.3,32.8,11.7,1280.4,71.4
Uttarakhand,CHAMOLI,2002,Kharif,Horse-gram,211.0,116.0,Uttarakhand,53.8,123.2,100.0,76.3,82.3,139.6,205.7,465.4,301.3,19.9,3.0,4.2,1574.7,177.0,258.5,1112.1,27.1
Jharkhand,SAHEBGANJ,2002,Rabi,Masoor,784.84,795.82,Jharkhand,9.0,5.4,10.7,11.5,38.7,184.9,186.8,277.4,253.4,55.0,1.3,0.8,1034.9,14.4,60.9,902.5,57.1
Haryana,AMBALA,2001,Rabi,Gram,113.0,0.0,,,,,,,,,,,,,,,,,,
Tripura,UNAKOTI,2013,Kharif,Arhar/Tur,116.0,93.0,,,,,,,,,,,,,,,,,,
Chhattisgarh,KANKER,2007,Rabi,Rapeseed &Mustard,1460.0,658.0,Chhattisgarh,0.0,15.7,6.2,11.4,10.4,259.4,309.9,338.8,259.1,67.8,2.0,0.5,1281.2,15.7,28.0,1167.2,70.3
Gujarat,KACHCHH,2010,Kharif,Groundnut,78100.0,113700.0,Gujarat Region,0.2,0.0,0.0,0.0,0.0,59.3,328.2,431.0,216.6,12.2,41.0,0.2,1088.7,0.2,0.0,1035.0,53.4
Chandigarh,CHANDIGARH,1999,Rabi,Wheat,800.0,3600.0,Chhattisgarh,0.0,3.1,0.1,0.0,31.5,222.5,310.0,408.7,253.7,91.2,1.3,0.6,1322.6,3.1,31.6,1194.9,93.0
Tamil Nadu,SIVAGANGA,2008,Kharif,Small millets,1007.0,10.0,Tamil Nadu,11.7,29.1,164.7,31.5,53.7,51.1,73.1,126.5,70.7,242.7,298.5,50.1,1203.4,40.8,250.0,321.5,591.2
Karnataka,BANGALORE RURAL,2005,Whole Year,Banana,3407.0,48182.0,Coastal Karnataka,0.5,0.2,0.0,72.5,45.0,821.6,1177.3,692.0,456.2,178.7,24.6,2.3,3470.9,0.6,117.5,3147.2,205.6
Mizoram,KOLASIB,1998,Whole Year,Kapas,110.0,50.0,,,,,,,,,,,,,,,,,,
Jharkhand,LATEHAR,2007,Rabi,Masoor,190.1,133.0,Jharkhand,1.7,48.4,25.5,22.3,58.1,125.4,430.4,353.6,324.7,39.6,7.6,0.0,1437.3,50.1,105.8,1234.1,47.2
Puducherry,PONDICHERRY,2004,Whole Year,Banana,270.0,9450.0,,,,,,,,,,,,,,,,,,
Tripura,GOMATI,2014,Whole Year,Sugarcane,61.0,3095.0,,,,,,,,,,,,,,,,,,
Nagaland,DIMAPUR,2006,Kharif,Groundnut,150.0,140.0,,,,,,,,,,,,,,,,,,
Karnataka,MYSORE,2002,Whole Year,Mango,4004.0,18639.0,Coastal Karnataka,0.6,11.2,0.5,30.9,164.0,764.5,545.7,731.3,163.5,360.0,20.7,0.3,2793.1,11.8,195.3,2205.0,381.0
West Bengal,BIRBHUM,2003,Kharif,Urad,127.0,36.0,Gangetic West Bengal,0.5,11.7,70.0,36.3,81.9,280.5,253.4,239.3,155.0,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Chhattisgarh,KANKER,2013,Rabi,Linseed,817.0,425.0,Chhattisgarh,2.8,19.7,4.9,45.8,5.7,263.6,418.8,336.6,140.9,180.9,0.3,0.0,1420.0,22.5,56.4,1159.9,181.2
Himachal Pradesh,SIRMAUR,2001,Kharif,Sesamum,83.0,35.0,Himachal Pradesh,30.5,35.7,105.8,66.9,67.3,153.8,239.5,202.3,26.9,5.0,20.8,37.3,991.8,66.2,240.0,622.5,63.1
Punjab,MANSA,2000,Rabi,Barley,3000.0,10000.0,Punjab,25.4,26.6,6.9,1.3,15.3,50.1,164.8,70.0,42.0,0.0,0.7,2.2,405.3,52.0,23.5,326.9,2.9
West Bengal,BANKURA,2009,Summer,Sesamum,21513.0,12325.0,Gangetic West Bengal,2.4,1.4,17.9,2.6,229.0,69.7,277.6,332.7,294.6,77.3,9.4,0.3,1315.0,3.8,249.5,974.6,87.1
Madhya Pradesh,SEHORE,2009,Whole Year,Soyabean,284444.0,433940.0,West Madhya Pradesh,5.5,0.0,0.1,1.3,6.5,56.8,320.3,172.7,139.6,89.9,65.1,19.1,877.0,5.5,7.9,689.4,174.1
Nagaland,PEREN,2010,Kharif,Rice,11250.0,24930.0,,,,,,,,,,,,,,,,,,
Jharkhand,WEST SINGHBHUM,2007,Rabi,Potato,16.86,105.0,Jharkhand,1.7,48.4,25.5,22.3,58.1,125.4,430.4,353.6,324.7,39.6,7.6,0.0,1437.3,50.1,105.8,1234.1,47.2
Mizoram,LUNGLEI,2000,Whole Year,Tobacco,78.0,48.0,,,,,,,,,,,,,,,,,,
Rajasthan,CHURU,1998,Kharif,Castor seed,2.0,3.0,West Rajasthan,0.0,8.7,4.5,5.6,0.9,51.1,55.0,32.5,63.0,58.2,0.1,0.0,279.6,8.7,11.0,201.6,58.3
